"","Gender","Ever_Married","Age","Graduated","Spending_Score","Family_Size"
"1257","Female","No",32,"Yes","Low",2
"1258","Female","Yes",68,"No","Low",1
"1259","Male","Yes",86,"Yes","High",2
"1260","Male","Yes",49,"Yes","Low",3
"1261","Female","Yes",32,"Yes","High",2
"1262","Male","Yes",28,"Yes","Low",4
"1263","Female","No",26,"Yes","Low",NA
"1264","Male","Yes",83,"No","Low",1
"1265","Female","No",63,"Yes","Low",1
"1266","Male","Yes",65,"No","High",2
"1267","Female","Yes",38,"Yes","Average",3
"1268","Male","Yes",61,"Yes","Low",1
"1269","Female","Yes",46,"Yes","Low",2
"1270","Female","No",30,"Yes","Low",2
"1271","Male","Yes",46,NA,"Average",5
"1272","Male","No",53,"No","Low",NA
"1273","Male","No",22,"No","Low",5
"1274","Female","Yes",42,"Yes","Average",2
"1275","Female","Yes",57,"Yes","Low",7
"1276","Female","Yes",49,"No","Low",2
"1277","Female","No",25,"No","Low",3
"1278","Female","No",31,"Yes","Low",1
"1279","Male","No",25,"No","Low",5
"1280","Male","No",33,"Yes","Low",5
"1281","Male","No",29,"Yes","Low",6
"1282","Male","Yes",38,"Yes","Average",4
"1283","Male","Yes",62,"Yes","High",2
"1284","Male","Yes",59,"No","Low",1
"1285","Female","Yes",27,"Yes","Low",5
"1286","Female","Yes",51,"Yes","Average",3
"1287","Male","No",59,"No","Low",3
"1288","Female","Yes",78,"No","Low",1
"1289","Female","No",37,"Yes","Low",1
"1290","Male","Yes",37,"Yes","High",4
"1291","Male","Yes",30,"No","Average",2
"1292","Male","Yes",43,"Yes","Average",2
"1293","Male","No",40,"Yes","Low",2
"1294","Female","No",40,"Yes","Low",2
"1295","Female","No",30,"No","Low",5
"1296","Female","Yes",40,"Yes","Average",2
"1297","Female","Yes",62,"Yes","High",3
"1298","Male","No",22,"No","Low",8
"1299","Female","Yes",66,"Yes","High",2
"1300","Male","Yes",67,"Yes","Low",1
"1301","Male","Yes",50,"Yes","Average",3
"1302","Male","No",27,"No","Low",3
"1303","Male","No",28,"Yes","Low",3
"1304","Male","Yes",45,"Yes","Average",2
"1305","Male","Yes",59,"Yes","Average",2
"1306","Male","No",19,"No","Low",2
"1307","Male","Yes",62,"Yes","Low",4
"1308","Female","No",72,"Yes","Low",NA
"1309","Male","No",19,"No","Low",4
"1310","Female","No",28,"Yes","Low",3
"1311","Male","No",25,"No","Low",4
"1312","Male","Yes",36,"Yes","Low",2
"1313","Female","No",33,"Yes","Low",2
"1314","Male","Yes",59,"No","Average",4
"1315","Male","No",20,"No","Low",4
"1316","Male","No",23,"No","Low",5
"1317","Male","Yes",27,"No","Average",6
"1318","Female","No",46,"Yes","Low",2
"1319","Female","Yes",74,"No","High",2
"1320","Male","No",26,"No","Low",1
"1321","Male","Yes",76,"Yes","Low",1
"1322","Male","No",41,"Yes","Low",3
"1323","Female","No",32,"No","Low",NA
"1324","Female","Yes",30,"No","Average",2
"1325","Male","Yes",70,"No","Low",2
"1326","Male","Yes",50,"Yes","Low",3
"1327","Male","Yes",39,"No","High",4
"1328","Female","Yes",42,"Yes","Low",2
"1329","Female","Yes",40,"Yes","Low",3
"1330","Female","Yes",39,"Yes","Low",1
"1331","Female","Yes",88,"Yes","High",2
"1332","Female","No",43,"Yes","Low",1
"1333","Male","No",19,"No","Low",3
"1334","Female","Yes",45,"No","Low",1
"1335","Female",NA,30,"Yes","Average",4
"1336","Female","Yes",39,NA,"Low",1
"1337","Female","No",35,"Yes","Low",1
"1338","Male","Yes",53,"Yes","Low",3
"1339","Male","No",21,"No","Low",4
"1340","Female","No",22,NA,"Low",3
"1341","Male","Yes",38,"No","Average",3
"1342","Male","Yes",36,"Yes","Average",3
"1343","Male","Yes",63,"Yes","Average",4
"1344","Male","No",31,"Yes","Low",2
"1345","Male","No",25,"No","Low",1
"1346","Male","Yes",52,"Yes","Low",2
"1347","Male","No",19,"No","Low",4
"1348","Female","No",35,"Yes","Low",1
"1349","Female","No",30,"No","Low",4
"1350","Female","Yes",59,"Yes","Average",5
"1351","Female","No",25,"No","Low",3
"1352","Male","Yes",77,"Yes","Low",1
"1353","Female","Yes",58,"Yes","Average",2
"1354","Female","Yes",38,"Yes","Low",4
"1355","Male","Yes",29,"No","Low",4
"1356","Male","Yes",56,"Yes","Average",3
"1357","Female","No",37,"Yes","Low",2
"1358","Male","Yes",49,"Yes","Average",4
"1359","Female","No",41,"Yes","Low",1
"1360","Male",NA,55,"Yes","Average",3
"1361","Male","No",28,"Yes","Low",1
"1362","Female","No",35,"No","Low",2
"1363","Male","No",23,"No","Low",3
"1364","Female","Yes",43,"Yes","Average",2
"1365","Male","No",18,"No","Low",NA
"1366","Male","No",30,"No","Low",4
"1367","Male","No",20,"No","Low",3
"1368","Male","Yes",84,"No","High",2
"1369","Female","No",42,"Yes","Low",1
"1370","Male","No",28,"Yes","Low",1
"1371","Male","Yes",73,"Yes","Average",2
"1372","Female","Yes",61,"Yes","High",4
"1373","Female","Yes",42,"Yes","Low",1
"1374","Male","Yes",49,"Yes","Low",2
"1375","Female","Yes",84,"Yes","High",2
"1376","Male","No",22,"No","Low",4
"1377","Female","No",42,"Yes","Low",1
"1378","Female","No",31,"No","Low",4
"1379","Female","Yes",49,"Yes","Average",4
"1380","Male","Yes",58,"Yes","Average",2
"1381","Male","Yes",72,"Yes","High",5
"1382","Male","Yes",45,"Yes","Average",4
"1383","Male","Yes",49,"Yes","Average",5
"1384","Female","No",20,"No","Low",3
"1385","Female","No",31,"No","Low",4
"1386","Male","Yes",50,"Yes","Low",2
"1387","Female","No",65,"No","Low",1
"1388","Female","Yes",78,"Yes","High",2
"1389","Female","Yes",45,"Yes","Average",3
"1390","Male","Yes",29,"No","Low",4
"1391","Male","No",25,"No","Low",3
"1392","Female","Yes",62,"No","Average",5
"1393","Female","No",28,"Yes","Low",1
"1394","Female","Yes",49,"No","Low",1
"1395","Male","No",29,"Yes","Low",1
"1396","Male","No",52,"Yes","Low",1
"1397","Male","No",23,"No","Low",4
"1398","Male","No",18,"No","Low",3
"1399","Male","Yes",26,"Yes","Average",2
"1400","Male","Yes",51,"No","Low",4
"1401","Male","Yes",27,"No","High",3
"1402","Male","No",20,"No","Low",3
"1403","Male","Yes",62,"Yes","Low",1
"1404","Female","Yes",63,"No","Average",8
"1405","Male","No",53,"Yes","Low",1
"1406","Male","No",28,"No","Low",3
"1407","Female","No",33,"Yes","Low",3
"1408","Female","Yes",45,"Yes","Average",2
"1409","Male","Yes",61,"Yes","Average",2
"1410","Female","Yes",62,NA,"Average",4
"1411","Male","No",42,"No","Low",3
"1412","Male","Yes",52,"Yes","High",4
"1413","Female","Yes",51,"Yes","Low",1
"1414","Female","No",49,"No","Low",2
"1415","Male","Yes",51,"Yes","Low",2
"1416","Male","Yes",29,"No","Average",4
"1417","Male","Yes",53,"Yes","High",2
"1418","Male","Yes",40,"Yes","Low",1
"1419","Female","No",25,"Yes","Low",4
"1420","Female","Yes",29,"No","Average",2
"1421","Male","Yes",60,"Yes","Average",5
"1422","Female","No",25,"Yes","Low",3
"1423","Male","Yes",55,"Yes","High",2
"1424","Male","Yes",66,"Yes","High",2
"1425","Male","No",27,"Yes","Low",6
"1426","Male","Yes",51,"No","Average",4
"1427","Male","Yes",35,"No","Low",2
"1428","Male","Yes",65,"Yes","Low",2
"1429","Female","No",20,"No","Low",4
"1430","Male","No",32,"Yes","Low",5
"1431","Female","Yes",79,"Yes","High",2
"1432","Female","No",21,"No","Low",3
"1433","Male","No",36,"Yes","Low",1
"1434","Female","Yes",70,"Yes","Average",2
"1435","Female","No",28,"Yes","Low",3
"1436","Male","No",25,"Yes","Low",1
"1437","Female","Yes",36,"No","Low",2
"1438","Male","No",20,"No","Low",4
"1439","Male","Yes",49,"No","Low",2
"1440","Female","No",28,"Yes","Low",2
"1441","Female","Yes",49,"Yes","Average",6
"1442","Male","No",18,"No","Low",4
"1443","Female","Yes",46,"No","Average",5
"1444","Male","Yes",47,"No","Low",2
"1445","Female","No",32,"No","Low",1
"1446","Male","Yes",47,"Yes","Average",2
"1447","Female","Yes",49,"Yes","Average",4
"1448","Male","No",28,"No","Low",9
"1449","Male","Yes",58,"Yes","Average",3
"1450","Female","No",21,"No","Low",4
"1451","Male","Yes",53,"Yes","Average",2
"1452","Female","Yes",67,"Yes","Average",3
"1453","Male","No",26,"Yes","Low",5
"1454","Female","No",26,"No","Low",3
"1455","Male","Yes",40,"Yes","Average",2
"1456","Male","No",25,"Yes","Low",3
"1457","Male","No",41,"Yes","Low",1
"1458","Male","Yes",45,"Yes","High",3
"1459","Female","Yes",47,"Yes","Average",2
"1460","Male","Yes",27,"No","Average",3
"1461","Male","Yes",50,"Yes","Low",4
"1462","Male","Yes",51,"No","Average",2
"1463","Female",NA,28,"No","Low",4
"1464","Female","No",39,"Yes","Low",1
"1465","Male","Yes",60,"No","Average",3
"1466","Male","Yes",39,"No","Average",6
"1467","Female","Yes",65,"Yes","Low",1
"1468","Female","Yes",43,"Yes","Low",1
"1469","Female","Yes",58,"Yes","Average",6
"1470","Female","Yes",31,"No","Low",2
"1471","Female","Yes",38,"Yes","Low",1
"1472","Female","No",27,"Yes","Low",3
"1473","Female","Yes",58,"Yes","Average",2
"1474","Male","Yes",62,"Yes","High",2
"1475","Male","No",48,"Yes","Low",1
"1476","Male","Yes",57,"Yes","High",2
"1477","Male","Yes",42,"Yes","Average",5
"1478","Female","Yes",68,"Yes","High",2
"1479","Male","Yes",38,"Yes","Average",4
"1480","Male","Yes",31,"No","Average",3
"1481","Female","Yes",51,"No","Low",4
"1482","Male","Yes",59,"Yes","Average",4
"1483","Male","Yes",36,"Yes","Average",2
"1484","Male","Yes",32,"No","Average",3
"1485","Male","No",25,"Yes","Low",2
"1486","Male","Yes",48,"Yes","Low",1
"1487","Female",NA,37,"Yes","Average",1
"1488","Female","Yes",70,"Yes","Average",2
"1489","Female","Yes",42,"No","Low",3
"1490","Male","No",26,"No","Low",2
"1491","Male","No",25,"Yes","Low",4
"1492","Female","No",36,"Yes","Low",3
"1493","Male","No",42,"No","Low",1
"1494","Female","No",35,"Yes","Low",7
"1495","Female","Yes",22,"No","Average",2
"1496","Female","No",36,"Yes","Low",1
"1497","Male","Yes",47,"Yes","Average",3
"1498","Male","No",19,"No","Low",4
"1499","Male","Yes",36,"Yes","Low",2
"1500","Female","No",28,"Yes","Low",3
"1501","Male","Yes",52,"No","Average",4
"1502","Male","Yes",50,"Yes","Average",4
"1503","Male","Yes",47,"No","Low",4
"1504","Female","No",29,"Yes","Low",1
"1505","Female","No",23,"No","Low",4
"1506","Male","Yes",50,"Yes","Average",4
"1507","Female","No",21,"No","Low",4
"1508","Female","Yes",56,"Yes","Low",1
"1509","Male","Yes",32,"Yes","High",2
"1510","Female","No",32,"Yes","Low",9
"1511","Male","Yes",63,"Yes","High",2
"1512","Male","Yes",50,"No","Low",2
"1513","Male","Yes",52,"Yes","Low",4
"1514","Female","Yes",49,"Yes","Average",4
"1515","Male","No",62,"No","Low",1
"1516","Female","Yes",55,"No","Average",7
"1517","Male","No",27,"No","Low",3
"1518","Female","Yes",45,"Yes","Low",1
"1519","Female","Yes",31,"No","Average",2
"1520","Male","No",33,"Yes","Low",5
"1521","Male","Yes",52,"Yes","Average",2
"1522","Male","No",42,"Yes","Low",2
"1523","Male","No",38,"Yes","Low",3
"1524","Male","Yes",84,"Yes","High",2
"1525","Male","Yes",67,"Yes","High",3
"1526","Female","No",32,"No","Low",5
"1527","Female","No",33,"Yes","Low",2
"1528","Female","No",30,"Yes","Low",5
"1529","Male","No",18,"No","Low",4
"1530","Female","Yes",47,"Yes","Average",2
"1531","Male","No",29,"No","Low",4
"1532","Male","Yes",63,"No","High",4
"1533","Male",NA,55,"Yes","Average",2
"1534","Female","No",48,"Yes","Low",NA
"1535","Male","Yes",27,"Yes","Low",4
"1536","Female","Yes",43,"Yes","Low",1
"1537","Female","Yes",50,"Yes","Low",NA
"1538","Male","No",29,"No","Low",3
"1539","Male","Yes",73,"Yes","Average",NA
"1540","Female","Yes",57,"No","Low",1
"1541","Female","Yes",47,"No","Low",1
"1542","Female","Yes",32,"Yes","High",3
"1543","Female","Yes",25,"Yes","Average",2
"1544","Female","Yes",79,"Yes","High",2
"1545","Female","No",41,"Yes","Low",1
"1546","Male","Yes",36,"Yes","Average",2
"1547","Male","No",19,"No","Low",9
"1548","Female","Yes",49,"No","Average",5
"1549","Male","Yes",26,"No","High",2
"1550","Male","No",28,"Yes","Low",2
"1551","Male","No",84,"No","Low",1
"1552","Male","Yes",81,"No","Low",2
"1553","Female","No",35,"Yes","Low",1
"1554","Male","Yes",55,"Yes","Average",2
"1555","Male","Yes",50,"No","High",5
"1556","Male","Yes",78,"Yes","Low",5
"1557","Male","Yes",36,"No","Average",4
"1558","Male","No",47,"Yes","Low",1
"1559","Male","Yes",48,"No","Average",5
"1560","Female","Yes",69,"Yes","Low",2
"1561","Male","Yes",38,"No","High",4
"1562","Male","Yes",36,"Yes","Average",4
"1563","Female","Yes",52,"No","Average",4
"1564","Male","No",46,"Yes","Low",1
"1565","Male","No",18,"No","Low",6
"1566","Female","No",22,"No","Low",4
"1567","Male","No",18,"No","Low",6
"1568","Male","Yes",30,"No","Average",3
"1569","Male","No",32,"Yes","Low",3
"1570","Male","Yes",43,"No","High",4
"1571","Female","Yes",49,"Yes","Average",3
"1572","Female","No",40,"Yes","Low",2
"1573","Male","Yes",55,"Yes","Average",3
"1574","Female","No",33,"No","Low",7
"1575","Male","No",31,"Yes","Low",5
"1576","Female","No",35,"Yes","Low",6
"1577","Male","No",40,"Yes","Low",3
"1578","Male","Yes",69,"No","Average",3
"1579","Female","Yes",46,"Yes","Low",4
"1580","Female","Yes",63,"Yes","Low",2
"1581","Female","No",50,"No","Low",NA
"1582","Male","Yes",61,"Yes","Average",2
"1583","Female","No",50,"No","Low",1
"1584","Female","No",25,"Yes","Low",NA
"1585","Male","Yes",53,"Yes","High",3
"1586","Female","Yes",35,"Yes","Average",2
"1587","Male","No",19,"No","Low",3
"1588","Male","No",26,"No","Low",4
"1589","Female","Yes",38,"No","Average",4
"1590","Female","No",26,"No","Low",1
"1591","Male","Yes",39,"Yes","High",3
"1592","Male","Yes",39,"Yes","Low",4
"1593","Female","Yes",72,"Yes","Low",NA
"1594","Female","No",45,"Yes","Low",1
"1595","Male","Yes",47,"No","Average",4
"1596","Female","No",30,"Yes","Low",5
"1597","Male","Yes",48,"No","High",2
"1598","Female","Yes",76,"Yes","Low",2
"1599","Male","Yes",71,"Yes","Low",2
"1600","Female","No",41,"Yes","Low",1
"1601","Female","No",29,"No","Low",NA
"1602","Male","Yes",57,"Yes","Average",5
"1603","Male","Yes",49,"No","Low",1
"1604","Male","Yes",21,"No","High",8
"1605","Male","No",18,"No","Low",3
"1606","Male","No",22,"No","Low",3
"1607","Female","No",33,"No","Low",1
"1608","Male","Yes",53,"Yes","Low",3
"1609","Male","Yes",55,"Yes","Average",2
"1610","Male","Yes",73,"Yes","High",4
"1611","Male","Yes",89,"Yes","High",2
"1612","Male","Yes",59,"Yes","Low",2
"1613","Male","No",38,"Yes","Low",2
"1614","Female","No",42,"Yes","Low",2
"1615","Female","Yes",83,"Yes","High",2
"1616","Female","No",22,"No","Low",4
"1617","Male","Yes",46,"No","Average",4
"1618","Male","Yes",37,"Yes","Average",2
"1619","Female","Yes",42,"No","Low",3
"1620","Male","Yes",71,"Yes","Average",2
"1621","Female","No",18,"No","Low",3
"1622","Female","No",41,"Yes","Low",1
"1623","Male","Yes",27,"Yes","Low",5
"1624","Female","No",53,"No","Low",1
"1625","Female","No",28,"No","Low",3
"1626","Male","Yes",35,"Yes","Average",2
"1627","Male","No",18,"No","Low",2
"1628","Male","No",19,"No","Low",4
"1629","Female","No",32,"No","Low",4
"1630","Male","No",30,"No","Low",4
"1631","Male","No",36,"Yes","Low",1
"1632","Male","Yes",82,"Yes","High",2
"1633","Female","Yes",37,"Yes","Low",1
"1634","Male","No",45,"Yes","Low",1
"1635","Male","No",31,"Yes","Low",1
"1636","Male","Yes",27,"Yes","Low",4
"1637","Female","No",18,"No","Low",5
"1638","Male","Yes",22,"No","Low",4
"1639","Female","No",22,"No","Low",6
"1640","Female","No",42,"No","Low",1
"1641","Male","Yes",69,"No","Low",1
"1642","Female","Yes",43,"Yes","High",2
"1643","Female","Yes",89,"No","High",2
"1644","Female","No",26,"No","Low",4
"1645","Male","No",43,"Yes","Low",3
"1646","Male","Yes",30,"Yes","Average",2
"1647","Female","Yes",60,"Yes","Low",2
"1648","Female","Yes",38,"Yes","High",4
"1649","Female",NA,29,"Yes","High",4
"1650","Male","Yes",45,"Yes","Average",2
"1651","Male","No",20,"No","Low",4
"1652","Female","Yes",51,"Yes","Low",1
"1653","Male","Yes",36,"Yes","Average",4
"1654","Female","No",41,"No","Low",3
"1655","Male","Yes",46,"No","Low",5
"1656","Female","No",30,"Yes","Low",1
"1657","Female","No",23,"No","Low",5
"1658","Male","Yes",39,"Yes","Low",2
"1659","Male","Yes",63,"Yes","Average",4
"1660","Male","Yes",60,"Yes","Average",3
"1661","Male","No",20,"No","Low",3
"1662","Female","Yes",89,"No","High",2
"1663","Female",NA,31,NA,"High",2
"1664","Male","No",43,"Yes","Low",4
"1665","Female","Yes",70,"No","High",2
"1666","Male","No",35,"Yes","Low",1
"1667","Male","Yes",42,"Yes","High",2
"1668","Male","Yes",39,"Yes","Average",2
"1669","Female","Yes",29,"Yes","Low",2
"1670","Female","No",38,"No","Low",NA
"1671","Female","Yes",74,"No","Low",1
"1672","Male","Yes",41,"Yes","Low",2
"1673","Male","Yes",51,"Yes","Average",4
"1674","Male","Yes",50,"Yes","High",3
"1675","Male","No",23,"No","Low",3
"1676","Male","No",36,"Yes","Low",3
"1677","Male","No",36,"Yes","Low",1
"1678","Female","Yes",50,"Yes","Low",2
"1679","Male","No",23,"No","Low",4
"1680","Female","No",37,"No","Low",1
"1681","Male","Yes",65,"Yes","High",4
"1682","Female","No",26,"Yes","Low",1
"1683","Male","Yes",55,"Yes","Low",3
"1684","Male","Yes",65,"Yes","High",2
"1685","Female","Yes",72,"Yes","High",2
"1686","Male","Yes",51,"Yes","Average",2
"1687","Male","No",25,"Yes","Low",5
"1688","Male","Yes",38,"No","High",3
"1689","Male","Yes",55,"No","Average",2
"1690","Male","Yes",46,"No","Average",NA
"1691","Female","No",39,"Yes","Low",3
"1692","Female","Yes",62,"Yes","High",2
"1693","Female","Yes",37,"Yes","Average",2
"1694","Female","No",28,"No","Low",7
"1695","Female","No",32,"Yes","Low",6
"1696","Male","No",31,"Yes","Low",2
"1697","Female","No",31,"No","Low",3
"1698","Male","No",43,"Yes","Low",NA
"1699","Male","Yes",67,"Yes","Average",2
"1700","Female","No",72,"Yes","Low",1
"1701","Female","Yes",57,"No","Low",3
"1702","Male",NA,58,"No","High",3
"1703","Male","Yes",36,"Yes","Average",2
"1704","Female","No",21,"No","Low",1
"1705","Male","Yes",47,"No","Average",5
"1706","Female","No",25,"Yes","Low",3
"1707","Female","Yes",41,"No","Average",2
"1708","Male","No",29,"Yes","Low",4
"1709","Male","No",21,"No","Low",3
"1710","Male","Yes",66,"Yes","Low",1
"1711","Male","Yes",27,"Yes","Low",2
"1712","Female","No",27,"No","Low",4
"1713","Male","Yes",52,"Yes","Low",1
"1714","Male","Yes",46,"Yes","Average",3
"1715","Female","No",23,"No","Low",4
"1716","Male","No",27,"Yes","Low",5
"1717","Female","Yes",52,"Yes","Low",3
"1718","Male","Yes",65,"No","Average",2
"1719","Male","No",42,"No","Low",3
"1720","Male","Yes",59,"No","Low",2
"1721","Female","Yes",45,"Yes","Low",1
"1722","Male","Yes",18,"No","Average",NA
"1723","Female","Yes",61,"No","High",3
"1724","Female","Yes",53,"Yes","Average",4
"1725","Female","Yes",37,"Yes","Average",2
"1726","Male","Yes",63,"Yes","High",5
"1727","Female","No",33,"No","Low",5
"1728","Female","Yes",50,"Yes","Low",3
"1729","Female","Yes",62,"Yes","Low",2
"1730","Male","Yes",49,"Yes","Average",8
"1731","Male","Yes",46,"Yes","Average",3
"1732","Male","No",27,NA,"Low",NA
"1733","Male","Yes",53,"Yes","High",4
"1734","Female","Yes",42,"Yes","High",2
"1735","Female","Yes",28,"Yes","Low",1
"1736","Female","Yes",49,"Yes","Average",4
"1737","Male","Yes",35,"Yes","Average",2
"1738","Female","Yes",27,"No","Low",NA
"1739","Male","Yes",58,"Yes","High",2
"1740","Male","Yes",41,"No","Average",2
"1741","Male","Yes",32,"Yes","Average",2
"1742","Male","No",33,"No","Low",2
"1743","Male","Yes",69,"No","Low",5
"1744","Female","No",31,"No","Low",4
"1745","Female","Yes",68,"No","High",3
"1746","Female","No",39,"No","Low",3
"1747","Female","No",21,"No","Low",5
"1748","Female","Yes",39,"No","Average",3
"1749","Female","Yes",41,"Yes","Low",1
"1750","Male","Yes",49,"Yes","Average",4
"1751","Female","Yes",38,"Yes","Average",2
"1752","Female","Yes",36,"Yes","High",NA
"1753","Female","Yes",52,"Yes","Low",4
"1754","Female","No",46,"Yes","Low",2
"1755","Male","No",28,"No","Low",3
"1756","Female","Yes",55,"Yes","High",5
"1757","Female","No",41,"Yes","Low",1
"1758","Male","Yes",47,"No","High",2
"1759","Male","Yes",52,"Yes","Low",3
"1760","Female","Yes",45,"Yes","High",4
"1761","Male","No",32,"No","Low",3
"1762","Male","Yes",78,"Yes","Low",1
"1763","Male","No",45,NA,"Low",1
"1764","Male","Yes",39,"No","Average",7
"1765","Male","Yes",38,"No","High",4
"1766","Female","Yes",50,"Yes","Average",4
"1767","Female","Yes",53,"Yes","High",4
"1768","Male","No",43,"Yes","Low",1
"1769","Male","Yes",59,"Yes","Average",3
"1770","Female","No",38,"No","Low",2
"1771","Male","Yes",42,"Yes","Average",2
"1772","Male","Yes",65,"Yes","Average",2
"1773","Male","Yes",79,"Yes","Low",2
"1774","Female","No",41,"Yes","Low",1
"1775","Male","Yes",42,"Yes","Low",2
"1776","Male","Yes",28,"No","Low",7
"1777","Male","Yes",49,"Yes","Average",2
"1778","Male","Yes",58,"Yes","Low",2
"1779","Male","Yes",69,"Yes","High",3
"1780","Female","No",35,"Yes","Low",1
"1781","Female","Yes",47,"No","High",2
"1782","Female","No",25,"Yes","Low",1
"1783","Female","Yes",38,"Yes","Low",2
"1784","Female","No",25,"No","Low",3
"1785","Male","Yes",76,"No","Low",1
"1786","Female","No",23,"No","Low",5
"1787","Male","No",38,"Yes","Low",NA
"1788","Female","Yes",49,"Yes","Average",3
"1789","Female","Yes",56,"Yes","Low",1
"1790","Female","Yes",71,"Yes","High",2
"1791","Female","No",39,"No","Low",3
"1792","Female","No",41,"Yes","Low",3
"1793","Male","Yes",66,"No","Low",NA
"1794","Female","Yes",27,"No","Low",1
"1795","Female","No",23,"No","Low",3
"1796","Female","Yes",35,"Yes","Average",2
"1797","Female","Yes",33,"No","Low",2
"1798","Female","No",21,"No","Low",NA
"1799","Female","Yes",49,"No","Low",1
"1800","Male","Yes",42,"No","Low",3
"1801","Male","No",39,"Yes","Low",1
"1802","Male","Yes",68,"Yes","Low",1
"1803","Male","Yes",57,"Yes","Low",1
"1804","Male","No",38,"Yes","Low",1
"1805","Female","Yes",35,"No","Average",5
"1806","Female","Yes",41,"Yes","Low",3
"1807","Male","Yes",40,"Yes","Average",4
"1808","Female","No",32,"Yes","Low",3
"1809","Male","Yes",53,"Yes","Average",4
"1810","Female","Yes",38,"Yes","Average",3
"1811","Female","Yes",68,"No","Low",2
"1812","Male","No",30,"No","Low",2
"1813","Male","Yes",52,"No","Average",5
"1814","Male","Yes",80,"Yes","Low",1
"1815","Female","No",31,"Yes","Low",7
"1816","Female","Yes",38,"No","Average",4
"1817","Male","Yes",87,"No","High",2
"1818","Male","No",23,"No","Low",4
"1819","Male","No",45,"Yes","Low",1
"1820","Male","Yes",36,"Yes","Average",4
"1821","Male","Yes",41,"No","High",2
"1822","Female","Yes",48,"Yes","Low",4
"1823","Male","Yes",70,"Yes","High",5
"1824","Female","Yes",84,"Yes","High",2
"1825","Male","Yes",39,"Yes","Average",2
"1826","Female","No",39,"Yes","Low",1
"1827","Male","Yes",50,"Yes","Average",4
"1828","Male","Yes",40,"Yes","Low",5
"1829","Male","Yes",39,"Yes","Average",2
"1830","Male","Yes",38,"Yes","Average",3
"1831","Male","Yes",71,"No","High",2
"1832","Female","No",35,"Yes","Low",1
"1833","Male","Yes",27,"Yes","Low",5
"1834","Male","Yes",33,"No","Average",3
"1835","Male","Yes",37,"No","Average",3
"1836","Male","Yes",74,"Yes","High",2
"1837","Male","No",20,"No","Low",2
"1838","Female","Yes",30,"No","High",4
"1839","Male","No",22,"No","Low",4
"1840","Female","No",43,"Yes","Low",1
"1841","Male","No",36,"Yes","Low",2
"1842","Male","No",29,"Yes","Low",2
"1843","Female","No",43,"Yes","Low",6
"1844","Male","No",38,"Yes","Low",1
"1845","Female","Yes",40,"Yes","High",5
"1846","Female","Yes",68,"Yes","High",4
"1847","Male","Yes",57,"Yes","Average",NA
"1848","Female","No",35,"Yes","Low",2
"1849","Female","No",23,"No","Low",4
"1850","Male","No",50,"Yes","Low",1
"1851","Female","No",32,"Yes","Low",5
"1852","Male","Yes",59,"Yes","Low",1
"1853","Female","No",30,"Yes","Low",5
"1854","Female","No",35,"Yes","Low",1
"1855","Male","No",48,"Yes","Low",2
"1856","Male","No",29,"No","Low",4
"1857","Female","Yes",40,"Yes","Average",2
"1858","Male","Yes",38,"Yes","Average",3
"1859","Male","Yes",36,"No","Low",1
"1860","Male","No",20,"No","Low",4
"1861","Male","No",29,"No","Low",3
"1862","Male","Yes",42,"No","High",3
"1863","Female","Yes",35,"Yes","Low",1
"1864","Female","Yes",37,"No","Average",6
"1865","Female","Yes",52,"No","Average",4
"1866","Male","No",53,"Yes","Low",2
"1867","Male","Yes",30,"No","High",6
"1868","Female","Yes",65,"Yes","Low",2
"1869","Female","No",23,"No","Low",3
"1870","Female","No",32,"No","Low",3
"1871","Female","No",36,"Yes","Low",1
"1872","Male","No",27,"No","Low",3
"1873","Male","Yes",36,"Yes","Low",2
"1874","Male","No",37,"Yes","Low",1
"1875","Male","No",29,"No","Low",3
"1876","Male","No",29,"Yes","Low",5
"1877","Male","No",27,"Yes","Low",6
"1878","Female","No",35,"Yes","Low",1
"1879","Male","No",40,"Yes","Low",1
"1880","Male","No",37,"Yes","Low",4
"1881","Male","No",19,"No","Low",5
"1882","Male","No",29,"Yes","Low",4
"1883","Female","Yes",53,"Yes","Average",2
"1884","Male","No",25,"Yes","Low",NA
"1885","Female","Yes",38,"Yes","Low",1
"1886","Male","Yes",48,"Yes","Low",6
"1887","Female","No",26,"No","Low",1
"1888","Female","No",30,"Yes","Low",4
"1889","Male","No",30,"No","Low",2
"1890","Male","Yes",69,"No","High",3
"1891","Male","Yes",57,"Yes","Low",1
"1892","Female","Yes",56,"Yes","Average",2
"1893","Male","No",27,"Yes","Low",4
"1894","Male","No",21,"No","Low",6
"1895","Female","Yes",71,"Yes","High",4
"1896","Female","No",39,"Yes","Low",4
"1897","Female","Yes",87,"Yes","High",2
"1898","Male","Yes",59,"No","Average",3
"1899","Male","No",32,"Yes","Low",1
"1900","Male","Yes",40,"No","Low",4
"1901","Female","Yes",58,"Yes","High",3
"1902","Male","No",19,"No","Low",5
"1903","Female","No",31,"Yes","Low",9
"1904","Male","No",31,"No","Low",4
"1905","Female","Yes",43,"No","Average",2
"1906","Male","Yes",47,"No","Low",5
"1907","Male","No",35,"No","Low",4
"1908","Female","Yes",46,"Yes","Average",2
"1909","Male","Yes",69,"Yes","Low",2
"1910","Male","Yes",69,"Yes","High",3
"1911","Female","Yes",45,"Yes","Average",5
"1912","Male","Yes",38,"Yes","Low",4
